,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-369.396,-198.36,-205.073,234.843
Tax Rate For Calcs,1.86e-07,1.74e-07,1.81e-07,2.11e-07
Normalized EBITDA,17803.0,16747.0,14961.0,14361.0
Total Unusual Items,-1986.0,-1140.0,-1133.0,1113.0
Total Unusual Items Excluding Goodwill,-1986.0,-1140.0,-1133.0,1113.0
Net Income From Continuing Operation Net Minority Interest,10631.0,10714.0,9542.0,9771.0
Reconciled Depreciation,1075.0,1128.0,1260.0,1452.0
Reconciled Cost Of Revenue,18324.0,18520.0,18000.0,15357.0
EBITDA,15817.0,15607.0,13828.0,15474.0
EBIT,14742.0,14479.0,12568.0,14022.0
Net Interest Income,-668.0,-620.0,-433.0,-1321.0
Interest Expense,1656.0,1527.0,882.0,1597.0
Interest Income,988.0,907.0,449.0,276.0
Normalized Income,12247.604,11655.64,10469.927,8892.843
Net Income From Continuing And Discontinued Operation,10631.0,10714.0,9542.0,9771.0
Total Expenses,33039.0,32656.0,30962.0,27616.0
Total Operating Income As Reported,9992.0,11311.0,10909.0,10308.0
Diluted Average Shares,4320.0,4339.0,4350.0,4340.0
Basic Average Shares,4309.0,4323.0,4328.0,4315.0
Diluted EPS,2.46e-06,2.47e-06,2.1899999999999998e-06,2.25e-06
Basic EPS,2.47e-06,2.48e-06,2.2e-06,2.26e-06
Diluted NI Availto Com Stockholders,10631.0,10714.0,9542.0,9771.0
Net Income Common Stockholders,10631.0,10714.0,9542.0,9771.0
Net Income,10631.0,10714.0,9542.0,9771.0
Minority Interests,-18.0,11.0,-29.0,-33.0
Net Income Including Noncontrolling Interests,10649.0,10703.0,9571.0,9804.0
Net Income Continuous Operations,10649.0,10703.0,9571.0,9804.0
Tax Provision,2437.0,2249.0,2115.0,2621.0
Pretax Income,13086.0,12952.0,11686.0,12425.0
Other Income Expense,-268.0,473.0,77.0,2707.0
Other Non Operating Income Expenses,-52.0,-78.0,-262.0,156.0
Special Income Charges,-2301.0,-1325.0,-1133.0,646.0
Gain On Sale Of Ppe,,-35.0,,
Gain On Sale Of Business,842.0,59.0,,809.0
Other Special Charges,-23.0,-42.0,-219.0,15.0
Write Off,34.0,39.0,96.0,
Impairment Of Capital Assets,886.0,,57.0,78.0
Restructuring And Mergern Acquisition,2246.0,1337.0,1076.0,70.0
Earnings From Equity Interest,1770.0,1691.0,1472.0,1438.0
Gain On Sale Of Security,315.0,185.0,-496.0,467.0
Net Non Operating Interest Income Expense,-668.0,-620.0,-433.0,-1321.0
Interest Expense Non Operating,1656.0,1527.0,882.0,1597.0
Interest Income Non Operating,988.0,907.0,449.0,276.0
Operating Income,14022.0,13098.0,12042.0,11039.0
Operating Expense,14715.0,14136.0,12962.0,12259.0
Other Operating Expenses,6758.0,6273.0,82.0,115.0
Depreciation Amortization Depletion Income Statement,,15.0,,
Depreciation And Amortization In Income Statement,,15.0,,
Amortization,,15.0,,
Amortization Of Intangibles Income Statement,,15.0,,
Selling General And Administration,7957.0,7863.0,12880.0,12144.0
Selling And Marketing Expense,7671.0,7609.0,7086.0,6672.0
General And Administrative Expense,286.0,254.0,356.0,337.0
Other Gand A,,,,5135.0
Salaries And Wages,286.0,254.0,356.0,337.0
Gross Profit,28737.0,27234.0,25004.0,23298.0
Cost Of Revenue,18324.0,18520.0,18000.0,15357.0
Total Revenue,47061.0,45754.0,43004.0,38655.0
Operating Revenue,47061.0,45754.0,43004.0,38655.0
