,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Free Cash Flow,7837.0,6629.0,6745.0,3501.0
Repurchase Of Capital Stock,-903.0,-700.0,-676.0,-439.0
Repayment Of Debt,-1112.0,-2134.0,-1301.0,-986.0
Issuance Of Debt,816.0,1426.0,917.0,53.0
Capital Expenditure,-5498.0,-4710.0,-4323.0,-3891.0
Interest Paid Supplemental Data,106.0,129.0,125.0,145.0
Income Tax Paid Supplemental Data,2917.0,2319.0,2234.0,1940.0
End Cash Position,14161.0,9906.0,13700.0,10203.0
Beginning Cash Position,9906.0,13700.0,10203.0,11258.0
Effect Of Exchange Rate Changes,6.0,40.0,15.0,-249.0
Changes In Cash,4249.0,-3834.0,3482.0,-806.0
Financing Cash Flow,-3775.0,-10764.0,-2614.0,-4283.0
Cash Flow From Continuing Financing Activities,-3775.0,-10764.0,-2614.0,-4283.0
Net Other Financing Charges,-393.0,-315.0,-303.0,-1413.0
Cash Dividends Paid,-2183.0,-9041.0,-1251.0,-1498.0
Common Stock Dividend Paid,,,-1251.0,-1498.0
Net Common Stock Issuance,-903.0,-700.0,-676.0,-439.0
Common Stock Payments,-903.0,-700.0,-676.0,-439.0
Net Issuance Payments Of Debt,-296.0,-708.0,-384.0,-933.0
Net Short Term Debt Issuance,-46.0,8.0,-18.0,47.0
Short Term Debt Payments,-862.0,-920.0,-935.0,-6.0
Short Term Debt Issuance,816.0,928.0,917.0,53.0
Net Long Term Debt Issuance,-250.0,-716.0,-366.0,-980.0
Long Term Debt Payments,-250.0,-1214.0,-366.0,-980.0
Long Term Debt Issuance,0.0,498.0,0.0,0.0
Investing Cash Flow,-5311.0,-4409.0,-4972.0,-3915.0
Cash Flow From Continuing Investing Activities,-5311.0,-4409.0,-4972.0,-3915.0
Net Other Investing Changes,74.0,-19.0,36.0,-48.0
Net Investment Purchase And Sale,113.0,320.0,-685.0,24.0
Sale Of Investment,1141.0,1790.0,937.0,1145.0
Purchase Of Investment,-1028.0,-1470.0,-1622.0,-1121.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net PPE Purchase And Sale,-5498.0,-4710.0,-4323.0,-3891.0
Purchase Of PPE,-5498.0,-4710.0,-4323.0,-3891.0
Operating Cash Flow,13335.0,11339.0,11068.0,7392.0
Cash Flow From Continuing Operating Activities,13335.0,11339.0,11068.0,7392.0
Change In Working Capital,1764.0,611.0,1018.0,-1563.0
Change In Other Working Capital,801.0,741.0,172.0,549.0
Change In Payables And Accrued Expense,404.0,1938.0,-382.0,1891.0
Change In Payable,404.0,1938.0,-382.0,1891.0
Change In Account Payable,404.0,1938.0,-382.0,1891.0
Change In Inventory,559.0,-2068.0,1228.0,-4003.0
Other Non Cash Items,303.0,315.0,412.0,377.0
Stock Based Compensation,860.0,818.0,774.0,724.0
Asset Impairment Charge,-117.0,-9.0,495.0,39.0
Deferred Tax,,,,-37.0
Deferred Income Tax,,,,-37.0
Depreciation Amortization Depletion,2426.0,2237.0,2077.0,1900.0
Depreciation And Amortization,2426.0,2237.0,2077.0,1900.0
Net Income From Continuing Operations,8099.0,7367.0,6292.0,5915.0
