,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,945.4,937.9,929.3,915.8
Ordinary Shares Number,715.2,722.7,731.3,744.8
Share Issued,1660.6,1660.6,1660.6,1660.6
Net Debt,37339.0,34766.0,33319.7,30913.5
Total Debt,51948.0,53091.0,48699.0,49349.1
Tangible Book Value,-6941.0,-7746.0,-8903.8,-7383.5
Invested Capital,34628.0,34639.0,29900.1,31021.7
Working Capital,738.0,1127.0,1622.1,3128.5
Net Tangible Assets,-6941.0,-7746.0,-8903.8,-7383.5
Capital Lease Obligations,13524.0,13746.0,12795.5,13726.4
Common Stock Equity,-3796.0,-4706.0,-6003.4,-4601.0
Total Capitalization,34628.0,32447.0,29900.1,31021.7
Total Equity Gross Minority Interest,-3797.0,-4707.0,-6003.4,-4601.0
Stockholders Equity,-3796.0,-4706.0,-6003.4,-4601.0
Gains Losses Not Affecting Retained Earnings,-2553.0,-2456.0,-2486.6,-2573.7
Other Equity Adjustments,-2553.0,-2456.0,-2486.6,-2573.7
Treasury Stock,77375.0,74640.0,71624.4,67810.2
Retained Earnings,66834.0,63480.0,59543.9,57534.7
Additional Paid In Capital,9281.0,8893.0,8547.1,8231.6
Capital Stock,17.0,17.0,16.6,16.6
Common Stock,17.0,17.0,16.6,16.6
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,58979.0,60854.0,56439.0,58455.3
Total Non Current Liabilities Net Minority Interest,55118.0,53995.0,52636.9,54435.3
Other Non Current Liabilities,770.0,950.0,1051.8,1081.0
Tradeand Other Payables Non Current,344.0,363.0,791.9,1896.8
Non Current Deferred Liabilities,2692.0,2471.0,2755.3,2813.9
Non Current Deferred Revenue,778.0,790.0,757.8,738.3
Non Current Deferred Taxes Liabilities,1914.0,1681.0,1997.5,2075.6
Long Term Debt And Capital Lease Obligation,51312.0,50211.0,48037.9,48643.6
Long Term Capital Lease Obligation,12888.0,13058.0,12134.4,13020.9
Long Term Debt,38424.0,37153.0,35903.5,35622.7
Current Liabilities,3861.0,6859.0,3802.1,4020.0
Current Debt And Capital Lease Obligation,636.0,2880.0,661.1,705.5
Current Capital Lease Obligation,636.0,688.0,661.1,705.5
Current Debt,,2192.0,,
Other Current Borrowings,,2192.0,,
Payables And Accrued Expenses,3225.0,3979.0,3141.0,3314.5
Current Accrued Expenses,1611.0,1903.0,1630.8,1710.3
Interest Payable,482.0,469.0,393.4,363.3
Payables,1614.0,2076.0,1510.2,1604.2
Total Tax Payable,585.0,973.0,530.0,597.4
Income Tax Payable,361.0,705.0,274.9,360.7
Accounts Payable,1029.0,1103.0,980.2,1006.8
Total Assets,55182.0,56147.0,50435.6,53854.3
Total Non Current Assets,50584.0,48159.0,45011.4,46705.8
Other Non Current Assets,6095.0,5618.0,4707.2,4449.5
Investments And Advances,2710.0,1080.0,1064.5,1201.2
Long Term Equity Investment,2710.0,1080.0,1064.5,1201.2
Investmentsin Associatesat Cost,,,1064.5,1201.2
Goodwill And Other Intangible Assets,3145.0,3040.0,2900.4,2782.5
Goodwill,3145.0,3040.0,2900.4,2782.5
Net PPE,38634.0,38421.0,36339.3,38272.6
Accumulated Depreciation,-18882.0,-18662.0,-17264.0,-17196.0
Gross PPE,57516.0,57083.0,53603.3,55468.6
Other Properties,16359.0,16621.0,15490.8,17031.7
Machinery Furniture Equipment,,,2498.6,3032.0
Buildings And Improvements,33904.0,33381.0,31426.2,31949.3
Land And Improvements,7253.0,7081.0,6686.3,6487.6
Properties,0.0,0.0,0.0,0.0
Current Assets,4599.0,7986.0,5424.2,7148.5
Other Current Assets,1075.0,866.0,673.4,511.3
Prepaid Assets,,,,511.3
Inventory,56.0,53.0,52.0,55.6
Receivables,2383.0,2488.0,2115.0,1872.4
Accounts Receivable,2383.0,2488.0,2115.0,1872.4
Cash Cash Equivalents And Short Term Investments,1085.0,4579.0,2583.8,4709.2
Cash And Cash Equivalents,1085.0,4579.0,2583.8,4709.2
