,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Free Cash Flow,14044.0,16524.0,13786.0,13567.0
Repurchase Of Capital Stock,-6500.0,-5006.0,-7353.0,-10003.0
Repayment Of Debt,-9627.0,-10024.0,-18228.0,-13821.0
Issuance Of Debt,10257.0,7582.0,21165.0,15713.0
Capital Expenditure,-3773.0,-3322.0,-3062.0,-3156.0
Interest Paid Supplemental Data,896.0,878.0,721.0,451.0
Income Tax Paid Supplemental Data,4554.0,4363.0,4278.0,3818.0
End Cash Position,9556.0,9482.0,8246.0,7214.0
Beginning Cash Position,9482.0,8246.0,7214.0,10288.0
Effect Of Exchange Rate Changes,112.0,-251.0,-170.0,-497.0
Changes In Cash,-38.0,1487.0,1202.0,-2577.0
Financing Cash Flow,-14036.0,-14855.0,-12146.0,-14876.0
Cash Flow From Continuing Financing Activities,-14035.0,-14855.0,-12146.0,-14876.0
Net Other Financing Charges,-1.0,,,
Proceeds From Stock Option Exercised,1707.0,1905.0,1269.0,2005.0
Cash Dividends Paid,-9872.0,-9312.0,-8999.0,-8770.0
Net Common Stock Issuance,-6500.0,-5006.0,-7353.0,-10003.0
Common Stock Payments,-6500.0,-5006.0,-7353.0,-10003.0
Net Issuance Payments Of Debt,630.0,-2442.0,2937.0,1892.0
Net Short Term Debt Issuance,370.0,-3304.0,818.0,-150.0
Short Term Debt Payments,-7650.0,-7689.0,-16350.0,-11478.0
Short Term Debt Issuance,8020.0,4385.0,17168.0,11328.0
Net Long Term Debt Issuance,260.0,862.0,2119.0,2042.0
Long Term Debt Payments,-1977.0,-2335.0,-1878.0,-2343.0
Long Term Debt Issuance,2237.0,3197.0,3997.0,4385.0
Investing Cash Flow,-3818.0,-3504.0,-3500.0,-4424.0
Cash Flow From Continuing Investing Activities,-3818.0,-3504.0,-3500.0,-4424.0
Net Other Investing Changes,-34.0,-161.0,327.0,113.0
Net Investment Purchase And Sale,,,,3.0
Sale Of Investment,,,,3.0
Purchase Of Investment,,,,0.0
Net Business Purchase And Sale,-11.0,-21.0,-765.0,-1381.0
Purchase Of Business,-11.0,-21.0,-765.0,-1381.0
Capital Expenditure Reported,-3773.0,-3322.0,-3062.0,-3156.0
Operating Cash Flow,17817.0,19846.0,16848.0,16723.0
Cash Flow From Continuing Operating Activities,17818.0,19847.0,16848.0,16723.0
Change In Working Capital,-821.0,42.0,-873.0,-1147.0
Change In Other Working Capital,,-1414.0,-1107.0,-635.0
Change In Payables And Accrued Expense,-542.0,878.0,-447.0,1429.0
Change In Payable,-542.0,878.0,-447.0,1429.0
Change In Account Payable,-542.0,878.0,-447.0,1429.0
Change In Inventory,-324.0,-70.0,-119.0,-1247.0
Change In Receivables,45.0,-766.0,-307.0,-694.0
Changes In Account Receivables,45.0,-766.0,-307.0,-694.0
Other Non Cash Items,-1654.0,490.0,217.0,229.0
Stock Based Compensation,476.0,562.0,545.0,528.0
Asset Impairment Charge,0.0,1341.0,0.0,0.0
Deferred Tax,149.0,-244.0,-453.0,-402.0
Deferred Income Tax,149.0,-244.0,-453.0,-402.0
Depreciation Amortization Depletion,2847.0,2896.0,2714.0,2807.0
Depreciation And Amortization,2847.0,2896.0,2714.0,2807.0
Operating Gains Losses,755.0,-215.0,-40.0,-85.0
Net Income From Continuing Operations,16065.0,14974.0,14738.0,14793.0
