,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,4741.0,9747.0,9534.0,11258.0
Repurchase Of Capital Stock,-1795.0,-2289.0,-1418.0,-111.0
Repayment Of Debt,-9533.0,-5034.0,-4930.0,-12866.0
Issuance Of Debt,12061.0,6891.0,3972.0,13094.0
Issuance Of Capital Stock,747.0,539.0,837.0,702.0
Capital Expenditure,-2064.0,-1852.0,-1484.0,-1367.0
End Cash Position,11488.0,9692.0,9825.0,10025.0
Beginning Cash Position,9692.0,9825.0,10025.0,7110.0
Effect Of Exchange Rate Changes,-623.0,-73.0,-205.0,-159.0
Changes In Cash,2419.0,-60.0,5.0,3074.0
Financing Cash Flow,-6910.0,-8310.0,-10250.0,-6786.0
Cash Flow From Continuing Financing Activities,-6910.0,-8310.0,-10250.0,-6786.0
Net Other Financing Charges,-31.0,-465.0,-1095.0,-353.0
Cash Dividends Paid,-8359.0,-7952.0,-7616.0,-7252.0
Common Stock Dividend Paid,-8359.0,-7952.0,-7616.0,-7252.0
Net Common Stock Issuance,-1048.0,-1750.0,-581.0,591.0
Common Stock Payments,-1795.0,-2289.0,-1418.0,-111.0
Common Stock Issuance,747.0,539.0,837.0,702.0
Net Issuance Payments Of Debt,2528.0,1857.0,-958.0,228.0
Net Long Term Debt Issuance,2528.0,1857.0,-958.0,228.0
Long Term Debt Payments,-9533.0,-5034.0,-4930.0,-12866.0
Long Term Debt Issuance,12061.0,6891.0,3972.0,13094.0
Investing Cash Flow,2524.0,-3349.0,-763.0,-2765.0
Cash Flow From Continuing Investing Activities,2524.0,-3349.0,-763.0,-2765.0
Net Other Investing Changes,429.0,405.0,-759.0,51.0
Net Investment Purchase And Sale,949.0,-2344.0,1020.0,1029.0
Sale Of Investment,6589.0,4354.0,4771.0,7059.0
Purchase Of Investment,-5640.0,-6698.0,-3751.0,-6030.0
Net Business Purchase And Sale,3170.0,368.0,385.0,-2586.0
Sale Of Business,3485.0,430.0,458.0,2180.0
Purchase Of Business,-315.0,-62.0,-73.0,-4766.0
Net PPE Purchase And Sale,-2024.0,-1778.0,-1409.0,-1259.0
Sale Of PPE,40.0,74.0,75.0,108.0
Purchase Of PPE,-2064.0,-1852.0,-1484.0,-1367.0
Operating Cash Flow,6805.0,11599.0,11018.0,12625.0
Cash Flow From Continuing Operating Activities,6805.0,11599.0,11018.0,12625.0
Change In Working Capital,-6234.0,-846.0,-605.0,1325.0
Change In Other Current Liabilities,-63.0,-187.0,-200.0,-351.0
Change In Payables And Accrued Expense,311.0,263.0,399.0,2277.0
Change In Payable,311.0,263.0,399.0,2277.0
Change In Account Payable,1134.0,841.0,759.0,2843.0
Change In Tax Payable,-823.0,-578.0,-360.0,-566.0
Change In Income Tax Payable,-823.0,-578.0,-360.0,-566.0
Change In Prepaid Assets,-5667.0,-323.0,225.0,-241.0
Change In Inventory,-520.0,-597.0,-960.0,-135.0
Change In Receivables,-295.0,-2.0,-69.0,-225.0
Changes In Account Receivables,-295.0,-2.0,-69.0,-225.0
Other Non Cash Items,1952.0,1206.0,1193.0,-658.0
Stock Based Compensation,286.0,254.0,356.0,337.0
Deferred Tax,-11.0,-2.0,-122.0,894.0
Deferred Income Tax,-11.0,-2.0,-122.0,894.0
Depreciation Amortization Depletion,1075.0,1128.0,1260.0,1452.0
Depreciation And Amortization,1075.0,1128.0,1260.0,1452.0
Operating Gains Losses,-912.0,-844.0,-635.0,-529.0
Earnings Losses From Equity Investments,-802.0,-1019.0,-838.0,-615.0
Net Foreign Currency Exchange Gain Loss,-110.0,175.0,203.0,86.0
Net Income From Continuing Operations,10649.0,10703.0,9571.0,9804.0
