,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Ordinary Shares Number,443.237,443.126,442.793,442.664
Share Issued,443.237,443.126,442.793,442.664
Total Debt,8173.0,8169.0,8884.0,9039.0
Tangible Book Value,29164.0,23622.0,25058.0,20642.0
Invested Capital,34877.0,29416.0,31516.0,27199.0
Working Capital,1272.0,-1218.0,2296.0,698.0
Net Tangible Assets,29164.0,23622.0,25058.0,20642.0
Capital Lease Obligations,2460.0,2375.0,2426.0,2482.0
Common Stock Equity,29164.0,23622.0,25058.0,20642.0
Total Capitalization,34877.0,29416.0,30435.0,27126.0
Total Equity Gross Minority Interest,29164.0,23622.0,25058.0,20647.0
Minority Interest,0.0,0.0,0.0,5.0
Stockholders Equity,29164.0,23622.0,25058.0,20642.0
Gains Losses Not Affecting Retained Earnings,-1770.0,-1828.0,-1805.0,-1829.0
Other Equity Adjustments,-1770.0,-1828.0,-1805.0,-1829.0
Retained Earnings,22650.0,17619.0,19521.0,15585.0
Additional Paid In Capital,8282.0,7829.0,7340.0,6884.0
Capital Stock,2.0,2.0,2.0,2.0
Common Stock,2.0,2.0,2.0,2.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,47935.0,46209.0,43936.0,43519.0
Total Non Current Liabilities Net Minority Interest,10827.0,10745.0,10353.0,11521.0
Other Non Current Liabilities,2654.0,2576.0,2550.0,2555.0
Long Term Debt And Capital Lease Obligation,8173.0,8169.0,7803.0,8966.0
Long Term Capital Lease Obligation,2460.0,2375.0,2426.0,2482.0
Long Term Debt,5713.0,5794.0,5377.0,6484.0
Current Liabilities,37108.0,35464.0,33583.0,31998.0
Other Current Liabilities,6589.0,6313.0,6254.0,5611.0
Current Deferred Liabilities,2854.0,2501.0,2337.0,2174.0
Current Debt And Capital Lease Obligation,,103.0,1081.0,73.0
Current Debt,,103.0,1081.0,73.0
Payables And Accrued Expenses,27665.0,26650.0,23911.0,24140.0
Current Accrued Expenses,7882.0,7229.0,6428.0,6292.0
Payables,19783.0,19421.0,17483.0,17848.0
Accounts Payable,19783.0,19421.0,17483.0,17848.0
Total Assets,77099.0,69831.0,68994.0,64166.0
Total Non Current Assets,38719.0,35585.0,33115.0,31470.0
Other Non Current Assets,4085.0,3936.0,3718.0,4050.0
Net PPE,34634.0,31649.0,29397.0,27420.0
Accumulated Depreciation,-18931.0,-17918.0,-16685.0,-15286.0
Gross PPE,53565.0,49567.0,46082.0,42706.0
Construction In Progress,1882.0,1389.0,1266.0,1582.0
Other Properties,2725.0,2617.0,2713.0,2774.0
Machinery Furniture Equipment,13127.0,12387.0,11512.0,10275.0
Buildings And Improvements,25508.0,23727.0,22001.0,20120.0
Land And Improvements,10323.0,9447.0,8590.0,7955.0
Properties,0.0,0.0,0.0,0.0
Current Assets,38380.0,34246.0,35879.0,32696.0
Other Current Assets,1777.0,1734.0,1709.0,1499.0
Inventory,18116.0,18647.0,16651.0,17907.0
Finished Goods,18116.0,18647.0,16651.0,17907.0
Receivables,3203.0,2721.0,2285.0,2241.0
Accounts Receivable,3203.0,2721.0,2285.0,2241.0
Cash Cash Equivalents And Short Term Investments,15284.0,11144.0,15234.0,11049.0
Other Short Term Investments,1123.0,1238.0,1534.0,846.0
Cash And Cash Equivalents,14161.0,9906.0,13700.0,10203.0
