,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,6672.0,7255.0,5488.0,7101.5
Repurchase Of Capital Stock,-2824.0,-3054.0,-3896.0,-845.5
Repayment Of Debt,-2777.0,-2441.0,-2202.0,-2240.0
Issuance Of Debt,2380.0,5221.0,3374.0,1154.4
Capital Expenditure,-2775.0,-2357.0,-1899.0,-2040.0
Interest Paid Supplemental Data,1523.0,1287.0,1184.0,1197.3
Income Tax Paid Supplemental Data,2974.0,2993.0,3024.0,2403.9
End Cash Position,1085.0,4579.0,2584.0,4709.2
Beginning Cash Position,4579.0,2584.0,4709.0,3449.1
Effect Of Exchange Rate Changes,-101.0,-58.0,-254.0,-120.1
Changes In Cash,-3393.0,2053.0,-1871.0,1380.2
Financing Cash Flow,-7495.0,-4374.0,-6580.0,-5595.6
Cash Flow From Continuing Financing Activities,-7493.0,-4374.0,-6580.0,-5595.6
Net Other Financing Charges,-58.0,-40.0,38.0,-46.7
Proceeds From Stock Option Exercised,328.0,260.0,248.0,285.7
Cash Dividends Paid,-4870.0,-4533.0,-4168.0,-3918.6
Common Stock Dividend Paid,-4870.0,-4533.0,-4168.0,-3918.6
Net Common Stock Issuance,-2824.0,-3054.0,-3896.0,-845.5
Common Stock Payments,-2824.0,-3054.0,-3896.0,-845.5
Net Issuance Payments Of Debt,-71.0,2993.0,1198.0,-1070.5
Net Short Term Debt Issuance,326.0,213.0,26.0,15.1
Net Long Term Debt Issuance,-397.0,2780.0,1172.0,-1085.6
Long Term Debt Payments,-2777.0,-2441.0,-2202.0,-2240.0
Long Term Debt Issuance,2380.0,5221.0,3374.0,1154.4
Investing Cash Flow,-5346.0,-3185.0,-2678.0,-2165.7
Cash Flow From Continuing Investing Activities,-5346.0,-3184.0,-2678.0,-2165.7
Net Other Investing Changes,-498.0,-677.0,-457.0,-53.9
Net Business Purchase And Sale,-2195.0,-246.0,-361.0,-178.0
Sale Of Business,311.0,195.0,446.0,196.2
Purchase Of Business,-2506.0,-441.0,-807.0,-374.2
Net PPE Purchase And Sale,122.0,95.0,39.0,106.2
Sale Of PPE,122.0,95.0,39.0,106.2
Capital Expenditure Reported,-2775.0,-2357.0,-1899.0,-2040.0
Operating Cash Flow,9447.0,9612.0,7387.0,9141.5
Cash Flow From Continuing Operating Activities,9446.0,9612.0,7387.0,9141.5
Change In Working Capital,-438.0,-108.0,-645.0,454.2
Change In Other Working Capital,,-220.3,-546.7,-302.5
Change In Payables And Accrued Expense,-519.0,36.0,-387.0,206.5
Change In Accrued Expense,-217.0,206.0,129.0,284.0
Change In Payable,-302.0,-170.0,-516.0,-77.5
Change In Account Payable,-10.0,50.0,31.0,225.0
Change In Tax Payable,-292.0,-220.0,-547.0,-302.5
Change In Income Tax Payable,-292.0,-220.0,-547.0,-302.5
Change In Inventory,71.0,17.0,6.0,-62.2
Change In Receivables,10.0,-161.0,-264.0,309.9
Changes In Account Receivables,10.0,-161.0,-264.0,309.9
Other Non Cash Items,4.0,-113.0,-570.0,-339.1
Stock Based Compensation,172.0,175.0,167.0,139.2
Deferred Tax,-574.0,-686.0,-346.0,-428.3
Deferred Income Tax,-574.0,-686.0,-346.0,-428.3
Depreciation Amortization Depletion,2097.0,1978.0,1871.0,1868.1
Depreciation And Amortization,2097.0,1978.0,1871.0,1868.1
Operating Gains Losses,-37.0,-103.0,733.0,-97.8
Gain Loss On Sale Of Business,-37.0,-103.0,733.0,-97.8
Net Income From Continuing Operations,8223.0,8469.0,6177.0,7545.2
