,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-62.115,-45.435,-201.083,46.6408
Tax Rate For Calcs,2.05e-07,1.95e-07,2.11e-07,1.7299999999999997e-07
Normalized EBITDA,14251.0,14094.0,11856.0,11912.2
Total Unusual Items,-303.0,-233.0,-953.0,269.6
Total Unusual Items Excluding Goodwill,-303.0,-233.0,-953.0,269.6
Net Income From Continuing Operation Net Minority Interest,8223.0,8469.0,6177.0,7545.2
Reconciled Depreciation,2097.0,1978.0,1871.0,1868.1
Reconciled Cost Of Revenue,9560.0,9335.0,8474.0,9104.3
EBITDA,13948.0,13861.0,10903.0,12181.8
EBIT,11851.0,11883.0,9032.0,10313.7
Net Interest Income,-1403.0,-1174.0,-1163.0,-1176.8
Interest Expense,1506.0,1361.0,1207.0,1185.8
Interest Income,103.0,187.0,44.0,9.0
Normalized Income,8463.885,8656.565,6928.917,7322.2408
Net Income From Continuing And Discontinued Operation,8223.0,8469.0,6177.0,7545.2
Total Expenses,14069.0,13748.0,12837.0,13350.2
Rent Expense Supplemental,4917.0,4774.0,4376.0,4608.3
Total Operating Income As Reported,11712.0,11647.0,9371.0,10356.0
Diluted Average Shares,721.9,732.3,741.3,751.8
Basic Average Shares,715.2,722.7,731.3,744.8
Diluted EPS,1.1390000000000001e-05,1.1560000000000001e-05,8.33e-06,1.0039999999999999e-05
Basic EPS,1.1497483000000001e-05,1.1718279e-05,8.447149e-06,1.0130505e-05
Diluted NI Availto Com Stockholders,8223.0,8469.0,6177.0,7545.2
Net Income Common Stockholders,8223.0,8469.0,6177.0,7545.2
Net Income,8223.0,8469.0,6177.0,7545.2
Net Income Including Noncontrolling Interests,8224.0,8469.0,6177.0,7545.2
Net Income Continuous Operations,8224.0,8469.0,6177.0,7545.2
Tax Provision,2121.0,2053.0,1648.0,1582.7
Pretax Income,10345.0,10522.0,7825.0,9127.9
Other Income Expense,-104.0,-49.0,-1357.0,432.3
Other Non Operating Income Expenses,42.0,31.0,-517.0,-14.0
Special Income Charges,-297.0,-252.0,-1087.0,306.6
Gain On Sale Of Ppe,-170.0,7.0,-137.0,-75.4
Gain On Sale Of Business,94.0,103.0,60.0,96.6
Write Off,,362.0,1010.0,-285.4
Restructuring And Mergern Acquisition,221.0,,,
Earnings From Equity Interest,157.0,153.0,113.0,176.7
Gain On Sale Of Security,-6.0,19.0,134.0,-37.0
Net Non Operating Interest Income Expense,-1403.0,-1174.0,-1163.0,-1176.8
Interest Expense Non Operating,1506.0,1361.0,1207.0,1185.8
Interest Income Non Operating,103.0,187.0,44.0,9.0
Operating Income,11851.0,11747.0,10345.0,9872.7
Operating Expense,2859.0,2817.0,2862.0,2707.5
Depreciation Amortization Depletion Income Statement,447.0,382.0,370.0,329.7
Depreciation And Amortization In Income Statement,447.0,382.0,370.0,329.7
Selling General And Administration,2412.0,2435.0,2492.0,2377.8
Gross Profit,14710.0,14564.0,13207.0,12580.2
Cost Of Revenue,11210.0,10931.0,9975.0,10642.7
Total Revenue,25920.0,25495.0,23182.0,23222.9
Operating Revenue,25497.0,25179.0,22854.0,22872.8
